Computer Name,IP Address,Operating System,Provider Type,Count
CMRLPT24142.sabc.cm,"fe80::ce3a:1f:a6f2:5306
10.102.8.18",Windows 10 Entreprise,Tanium Client,1
CMRLPT23131.sabc.cm,"fe80::90d2:e79a:506b:1df5
10.218.104.32
10.100.0.70
fe80::1ebb:45db:a2f:ff02",Windows 10 Entreprise,Tanium Client,1
CMRLPT22022.sabc.cm,"fe80::9c86:ef1c:9544:aea2
10.97.225.19",Windows 11 Entreprise,Tanium Client,1
CMRLPT22200.sabc.cm,"fe80::fb04:6007:2a6a:c5db
10.202.139.127",Windows 10 Entreprise,Tanium Client,1
CMRLPT19245.sabc.cm,"fe80::3785:c125:7be1:e46f
10.48.174.75",Windows 10 Entreprise,Tanium Client,1
CMRLPT20115.sabc.cm,"fe80::277a:6de0:801:92ca
fe80::28da:a7ab:6b45:cb8c
fe80::94e7:e36c:bbe9:39d4
192.168.220.1
192.168.11.1
10.102.8.224",Windows 10 Entreprise,Tanium Client,1
BALIDOMC001.sabc.cm,"fe80::65e9:fba6:9693:bc1d
10.100.1.22",Windows Server 2019 Standard,Tanium Client,1
CMRUCT21128.sabc.cm,"fe80::a8d5:7988:57c1:a51b
10.102.113.15",Windows 10 Entreprise,Tanium Client,1
CMRLPT22124.sabc.cm,"fe80::35c9:4bdf:eeb3:11f
10.99.0.19",Windows 10 Entreprise,Tanium Client,1
CMRLPT24136.sabc.cm,"fe80::84d0:162c:ce14:6f06
10.102.8.149",Windows 10 Entreprise,Tanium Client,1
CMRUCT20007.sabc.cm,"fe80::4488:1468:fea6:9379
10.99.2.87",Windows 10 Entreprise,Tanium Client,1
CMRLPT20094.sabc.cm,"fe80::a107:4964:20d7:28fd
10.100.0.95",Windows 10 Entreprise,Tanium Client,1
CMRUCT23112.sabc.cm,"fe80::df2d:6bb0:3dd8:65ac
10.98.36.10",Windows 10 Entreprise,Tanium Client,1
CMRLPT23205.sabc.cm,"fe80::31a9:6de1:7add:d754
10.102.8.139",Windows 10 Entreprise,Tanium Client,1
